price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
1 600 DT,location,Appartement s3 jardin de carthage,Jardin De Carthage, Tunis,,,,,
2 000 DT,location,Bureau 115m² 5 pièces les Berges du Lac 1,Les Berges Du Lac, Tunis,1,5,115,,
14 790 000 DT,vente,Terrain Industriel sidi daoud,La Marsa, Tunis,,,,12325,
170 000 DT,vente,Appart Kalra,Le Kram, Tunis,2,,,90,1
2 500 DT,location,Coco Plaza,La Marsa, Tunis,2,,,120,3
300 000 DT,vente,Appart Karma,Le Kram, Tunis,2,,,120,3
1 150 000 DT,vente,Loft Panorama,Aïn Zaghouan, Tunis,2,,,360,3
412 DT,vente,Des appartement haut standing,La Marsa, Tunis,,,,,
1 700 DT,location,étage de villa s+1,La Marsa, Tunis,,,,,
6 000 DT,location,Al villa ou berges du lac1,Les Berges Du Lac, Tunis,,,400,550,
70 DT / Nuit,location,Bardo Meublé & Climatisé de 70 à 120 DT par jr,Le Bardo, Tunis,1,2,80,80,2
70 DT / Nuit,location,Bardo meublés et climatisés,Le Bardo, Tunis,,2,80,80,
700 DT,location,Bureau ou cabinet,Le Kram, Tunis,,2,70,,
12 700 DT,location,Al bureau open space,Le Kram, Tunis,2,,125,,
49 470 DT,location,Al bureau open space zi kram,Le Kram, Tunis,,,291,,
45 050 DT,location,Al bureau open space kram,Le Kram, Tunis,,,265,,
950 000 DT,vente,Av bureau a la marsa,La Marsa, Tunis,3,6,50,,
680 000 DT,vente,Av duplex au jardin de carthage,Jardin De Carthage, Tunis,,,252,,
504 900 DT,vente,Av un appartement s3 au jardin de carthage,Jardin De Carthage, Tunis,1,,187,,4
1 700 DT,location,Al bureau au berges du lac1,Les Berges Du Lac, Tunis,2,3,110,,
1 900 DT,location,Al bureau au lac 1,Les Berges Du Lac, Tunis,2,4,160,,
3 200 DT,location,Al un bureau 5p au berges du lac1,Les Berges Du Lac, Tunis,2,5,157,,
980 000 DT,vente,Av duplex gammarth,Gammarth, Tunis,2,,200,,
1 700 000 DT,vente,Av villa marina gammarth,Gammarth, Tunis,,,370,,
545 400 DT,vente,Av un appartement au jardin de carthage,Jardin De Carthage, Tunis,,4,202,,
5 000 DT,vente,Av locaux commerce aux jardin de Carthage,Jardin De Carthage, Tunis,,3,463,,
4 000 DT,location,Al un local commercial au lac 1,Les Berges Du Lac, Tunis,,,152,,
800 000 DT,vente,Triplex haute standing à vendre,La Marsa, Tunis,1,,180,300,3
6 300 DT,location,Bureau 300m² très haut standing les Berges du Lac 2,Les Berges Du Lac, Tunis,2,9,304,,
